year_match,winning_team,total_wins
2015,Cloud9,24
2015,G2,14
2015,Liquid,23
2015,fnatic,37
2015,mousesports,7
2016,Astralis,136
2016,Cloud9,166
2016,FaZe,116
2016,G2,121
2016,Liquid,96
2016,Spirit,83
2016,TYLOO,146
2016,Tricked,92
2016,fnatic,121
2016,mousesports,112
2017,Astralis,128
2017,Cloud9,152
2017,FaZe,152
2017,G2,127
2017,Liquid,146
2017,Spirit,115
2017,TYLOO,117
2017,Tricked,147
2017,fnatic,128
2017,mousesports,133
2018,Astralis,207
2018,Cloud9,113
2018,FaZe,143
2018,G2,94
2018,Liquid,175
2018,Spirit,135
2018,TYLOO,131
2018,Tricked,104
2018,fnatic,98
2018,mousesports,167
2019,Astralis,120
2019,Cloud9,45
2019,FaZe,84
2019,G2,140
2019,Liquid,171
2019,Spirit,123
2019,TYLOO,133
2019,Tricked,205
2019,fnatic,120
2019,mousesports,128
2020,Astralis,6
2020,Cloud9,17
2020,FaZe,16
2020,G2,23
2020,Liquid,9
2020,Spirit,46
2020,TYLOO,13
2020,Tricked,14
2020,fnatic,12
2020,mousesports,15
